ticker,eps_yoy,revenue_growth,revenue_acceleration,earnings_surprise,roe,gross_margin,debt_to_equity,as_of_date,cached_at_utc
MTRN,-1.1319148936170214,0.1210494631138254,0.0705819124048101,,0.0069682606487807,0.1299958754803432,57.316,2026-02-15,2026-02-21T18:20:35.825501+00:00
MUX,-0.9615384615384616,-0.0328421052631578,-0.2261713330844235,,-0.0009456284130635,0.1546681442197332,26.143,2026-02-15,2026-02-21T18:20:35.825501+00:00
NAUT,-0.1538461538461538,,,,-0.0802535192947812,,15.965,2026-02-15,2026-02-21T18:20:35.825501+00:00
NBR,-1.025487256371814,0.09277642812807,-0.0077230097884469,,0.0175173980535848,0.1905560800923853,176.323,2026-02-15,2026-02-21T18:20:35.825501+00:00
NE,-1.325,-0.175694809137092,0.0175545785109003,,0.0190459127032107,0.1302909949085048,46.936,2026-02-15,2026-02-21T18:20:35.825501+00:00
NEWP,0.0,,,,-0.0098703807648702,,,2026-02-15,2026-02-21T18:20:35.825501+00:00
NG,0.0,,,,-0.0953758989950791,,101.993,2026-02-15,2026-02-21T18:20:35.825501+00:00
NHC,-0.0842490842490842,0.1248184880569551,0.0174283499197636,,0.0372647507690086,0.3906460287303906,12.102,2026-02-15,2026-02-21T18:20:35.825501+00:00
NMM,-0.4242424242424242,0.0178620153446682,-0.0179772949816636,,0.0174147617403261,0.3173470770170902,64.644,2026-02-15,2026-02-21T18:20:35.825501+00:00
NMRA,-0.2222222222222223,,,,-0.4294383365743298,,15.198,2026-02-15,2026-02-21T18:20:35.825501+00:00
NSSC,0.2666666666666668,0.1220273449328022,0.0104187364360737,,0.0730626467691841,0.5861911483849539,2.843,2026-02-15,2026-02-21T18:20:35.825501+00:00
NVMI,0.2278481012658226,0.254975583045582,-0.0100923799353693,,,,60.623,2026-02-15,2026-02-21T18:20:35.825501+00:00
NWG,0.2285714285714284,0.136953642384106,-0.0946758553930092,,0.0346721754031784,,,2026-02-15,2026-02-21T18:20:35.825501+00:00
NWPX,0.3529411764705881,0.1602599058378968,-0.0126936747927925,,0.0349551704145442,0.2128194774504028,35.911,2026-02-15,2026-02-21T18:20:35.825501+00:00
NXE,10.5,,,,-0.1406398121029472,,65.078,2026-02-15,2026-02-21T18:20:35.825501+00:00
OII,0.7749999999999999,0.0928007931616288,0.0290343192583315,,0.0785408321104192,0.2055894618103696,45.271,2026-02-15,2026-02-21T18:20:35.825501+00:00
ORN,-0.3333333333333332,-0.00696150876806,0.008337224946243,,0.0209069605421495,0.1321741293753359,51.787,2026-02-15,2026-02-21T18:20:35.825501+00:00
PBF,-1.5823293172690762,-0.0288112306666847,-0.0903836530500787,,0.0147382272769997,-0.0184886896841515,53.463,2026-02-15,2026-02-21T18:20:35.825501+00:00
PDS,-4.047169811320755,-0.0312372289926753,0.3175831657000436,,,,46.84,2026-02-15,2026-02-21T18:20:35.825501+00:00
PEBK,0.8615384615384614,0.0396083916083915,-0.0782544808787317,,,,,2026-02-15,2026-02-21T18:20:35.825501+00:00
PESI,-0.6296296296296297,0.0381870092790863,0.1487067933060082,,-0.0331454788483075,0.146499369771972,7.44,2026-02-15,2026-02-21T18:20:35.825501+00:00
PHIN,-0.5285714285714285,0.0672268907563025,-0.0411498292332821,,0.0283553875236294,0.2170978627671541,64.272,2026-02-15,2026-02-21T18:20:35.825501+00:00
PII,-29.105263157894736,0.0948501765979263,0.0495946443626994,,-0.3664896185417672,0.1999063426817212,199.868,2026-02-15,2026-02-21T18:20:35.825501+00:00
PKBK,0.5245901639344264,0.3449820788530466,0.052284997459876,,,,,2026-02-15,2026-02-21T18:20:35.825501+00:00
PKST,-1.1343283582089552,-0.034828476300924,-0.4707591860701937,,0.0047212390992539,0.8728682170542635,61.356,2026-02-15,2026-02-21T18:20:35.825501+00:00
PKX,-0.0961507227545882,-0.0578737897737766,-0.0235917236151992,,0.0075665337432848,0.0820380416221709,45.677,2026-02-15,2026-02-21T18:20:35.825501+00:00
PLAB,0.9814814814814814,-0.0308047505255403,0.0283862901511086,,0.0526598323603919,0.3500672011864485,0.373,2026-02-15,2026-02-21T18:20:35.825501+00:00
PLXS,0.126865671641791,0.0960228332114223,-0.0284852250850349,,0.027805704416355,0.0992081147672762,13.048,2026-02-15,2026-02-21T18:20:35.825501+00:00
POWL,0.1888111888111887,0.0403966350634343,-0.197957593789096,,0.0618790047930439,0.2843254347410663,0.218,2026-02-15,2026-02-21T18:20:35.825501+00:00
PRG,-0.5773195876288659,-0.0182085144643608,0.1003012931205935,,0.047076498421592,,80.669,2026-02-15,2026-02-21T18:20:35.825501+00:00
PYPD,-0.6639344262295082,,,,,,25.481,2026-02-15,2026-02-21T18:20:35.825501+00:00
QIPT,-0.5,0.319561427803392,0.0136894255259134,,-0.010430596416154,0.7188132747296163,102.329,2026-02-15,2026-02-21T18:20:35.825501+00:00
RAIL,-0.9355742296918768,0.4172531014083263,0.1211839234416647,,0.0819266236767392,0.1507996336699665,,2026-02-15,2026-02-21T18:20:35.825501+00:00
RAPP,0.4199999999999999,,,,-0.0526272582810969,,2.32,2026-02-15,2026-02-21T18:20:35.825501+00:00
RDNW,-0.663653125,-0.1095605700712588,0.3179413961745684,,,,45249.0,2026-02-15,2026-02-21T18:20:35.825501+00:00
RIG,12.333333333333334,0.0843881856540085,-0.0500218963098015,,-0.2380539737558801,0.8433852140077821,69.771,2026-02-15,2026-02-21T18:20:35.825501+00:00
