zscore,vwap_dist_bps,satellite_pct,cooldown,hold,max_tpd,avg_alpha,avg_sharpe,avg_trades,pct_pos,min_alpha,max_alpha
2.0000,35.0000,0.4000,10,6,8,0.0234,1.0200,68.0000,50.0000,-1.7933,2.1247
2.8000,35.0000,0.4000,6,4,12,0.0195,0.9444,64.0000,50.0000,-1.7857,2.2488
2.8000,80.0000,0.3000,10,6,8,0.0185,1.0204,39.5000,50.0000,-1.7492,2.1725
3.2000,80.0000,0.3000,10,6,8,0.0133,1.0122,37.2500,50.0000,-1.7315,2.1823
3.2000,55.0000,0.3000,10,6,8,0.0098,1.0425,47.5000,50.0000,-1.7134,2.1452
2.8000,80.0000,0.3000,6,4,12,0.0066,0.9932,40.5000,50.0000,-1.7539,2.1149
3.2000,35.0000,0.3000,10,6,8,0.0057,0.9935,53.2500,50.0000,-1.7454,2.1261
3.2000,35.0000,0.3000,14,8,6,0.0049,0.9838,49.0000,50.0000,-1.7423,2.1406
3.2000,80.0000,0.3000,6,4,12,0.0027,0.9960,38.2500,50.0000,-1.7315,2.1247
2.8000,80.0000,0.3000,14,8,6,0.0018,0.9752,38.2500,50.0000,-1.7474,2.1180
3.2000,80.0000,0.3000,14,8,6,-0.0022,0.9697,36.0000,50.0000,-1.7323,2.1278
2.0000,80.0000,0.3000,10,6,8,-0.0032,0.9564,46.0000,50.0000,-1.7636,2.0870
3.2000,55.0000,0.3000,6,4,12,-0.0036,1.0123,48.5000,50.0000,-1.7178,2.0814
2.8000,55.0000,0.3000,10,6,8,-0.0059,0.9283,50.5000,50.0000,-1.7421,2.1604
2.4000,80.0000,0.3000,10,6,8,-0.0060,0.9474,43.0000,50.0000,-1.7497,2.1012
2.4000,35.0000,0.4000,6,4,12,-0.0084,0.8177,66.7500,50.0000,-1.8357,2.1371
3.2000,55.0000,0.3000,14,8,6,-0.0169,0.9803,44.5000,50.0000,-1.7104,2.0425
2.4000,55.0000,0.3000,6,4,12,-0.0176,0.8980,56.0000,50.0000,-1.7700,2.0554
2.0000,35.0000,0.3000,6,4,12,-0.0186,0.9458,72.0000,50.0000,-1.7564,1.9909
2.4000,80.0000,0.3000,6,4,12,-0.0191,0.9172,44.0000,50.0000,-1.7544,2.0387
2.0000,55.0000,0.3000,6,4,12,-0.0193,0.9039,62.0000,50.0000,-1.7743,2.0284
2.0000,80.0000,0.3000,6,4,12,-0.0199,0.9209,47.5000,50.0000,-1.7682,2.0042
2.8000,35.0000,0.3000,14,8,6,-0.0199,0.8460,51.7500,50.0000,-1.7689,2.1311
2.8000,55.0000,0.3000,6,4,12,-0.0200,0.8887,51.7500,50.0000,-1.7512,2.0965
2.4000,55.0000,0.3000,10,6,8,-0.0203,0.8980,53.5000,50.0000,-1.7609,2.0520
2.0000,55.0000,0.3000,10,6,8,-0.0208,0.9039,59.0000,50.0000,-1.7652,2.0348
3.2000,35.0000,0.3000,6,4,12,-0.0273,0.9086,55.0000,50.0000,-1.7498,1.9997
2.8000,55.0000,0.3000,14,8,6,-0.0280,0.8847,47.2500,50.0000,-1.7365,2.0665
2.8000,35.0000,0.3000,10,6,8,-0.0303,0.8095,56.0000,50.0000,-1.7745,2.1033
2.0000,80.0000,0.3000,14,8,6,-0.0342,0.8593,44.2500,50.0000,-1.7643,2.0044
2.4000,80.0000,0.3000,14,8,6,-0.0349,0.8600,40.7500,50.0000,-1.7479,2.0251
2.0000,35.0000,0.3000,10,6,8,-0.0361,0.8203,66.2500,50.0000,-1.7969,1.9852
2.4000,35.0000,0.3000,10,6,8,-0.0410,0.7800,59.0000,50.0000,-1.7967,2.0158
2.4000,35.0000,0.3000,14,8,6,-0.0465,0.7293,54.2500,50.0000,-1.7911,2.0727
2.0000,35.0000,0.3000,14,8,6,-0.0549,0.7414,61.5000,50.0000,-1.7743,2.0251
2.4000,55.0000,0.3000,14,8,6,-0.0581,0.7716,49.7500,50.0000,-1.7553,1.9799
2.0000,55.0000,0.3000,14,8,6,-0.0587,0.7670,55.5000,50.0000,-1.7631,1.9752
2.8000,35.0000,0.3000,6,4,12,-0.0612,0.7115,57.7500,50.0000,-1.7836,2.0064
2.4000,35.0000,0.3000,6,4,12,-0.0662,0.6746,61.7500,50.0000,-1.8223,1.9448
2.0000,80.0000,0.4000,6,4,12,-0.1012,1.0919,42.3333,33.3333,-1.7639,2.1267
