zscore,vwap_dist_bps,satellite_pct,cooldown_bars,hold_bars,max_trades_day,avg_alpha_pct,avg_sharpe,avg_trades,avg_max_dd,min_alpha,max_alpha,pct_positive_alpha
2.8000,100.0000,0.6000,14,8,6,-1.0292,2.2518,34.6000,1.0985,-5.8243,2.3665,40.0000
2.8000,100.0000,0.6000,6,4,12,-1.0292,2.2477,37.0000,1.1134,-5.8243,2.3680,40.0000
3.2000,80.0000,0.5000,10,6,8,-1.0297,2.1501,40.0000,1.0851,-5.8652,2.4981,40.0000
3.2000,35.0000,0.5000,14,8,6,-1.0297,2.1885,50.8000,1.0810,-5.8384,2.5466,40.0000
3.2000,100.0000,0.6000,6,4,12,-1.0298,2.2860,35.8000,1.1093,-5.8339,2.3024,40.0000
2.0000,80.0000,0.5000,6,4,12,-1.0298,2.2134,56.2000,1.1024,-5.8084,2.3571,40.0000
2.4000,80.0000,0.6000,14,8,6,-1.0306,2.2361,44.6000,1.1011,-5.7797,2.3097,40.0000
2.0000,100.0000,0.6000,6,4,12,-1.0316,2.2964,42.2000,1.1252,-5.7488,2.3173,40.0000
2.8000,80.0000,0.5000,6,4,12,-1.0319,2.0895,46.0000,1.0960,-5.9033,2.4908,40.0000
2.0000,55.0000,0.5000,6,4,12,-1.0322,2.1260,71.2000,1.0982,-5.8353,2.4441,40.0000
2.8000,80.0000,0.6000,14,8,6,-1.0347,2.1383,41.2000,1.0911,-5.8544,2.3678,40.0000
2.8000,100.0000,0.6000,10,6,8,-1.0359,2.2346,34.6000,1.1107,-5.8243,2.3292,40.0000
2.4000,80.0000,0.5000,6,4,12,-1.0364,2.1806,50.8000,1.1105,-5.8199,2.3751,40.0000
2.4000,55.0000,0.5000,6,4,12,-1.0372,2.1190,63.6000,1.0884,-5.8331,2.4454,40.0000
3.2000,100.0000,0.6000,14,8,6,-1.0382,2.2554,33.0000,1.0952,-5.8339,2.2842,40.0000
2.8000,55.0000,0.5000,6,4,12,-1.0395,2.1452,59.4000,1.0702,-5.8372,2.4525,40.0000
3.2000,100.0000,0.6000,10,6,8,-1.0446,2.2427,33.4000,1.1073,-5.8339,2.2469,40.0000
3.2000,55.0000,0.5000,10,6,8,-1.0499,2.2303,51.6000,1.0704,-5.8097,2.3115,40.0000
3.2000,80.0000,0.6000,14,8,6,-1.0511,2.1237,37.8000,1.0987,-5.8493,2.2845,40.0000
2.4000,100.0000,0.5000,10,6,8,-1.0516,2.2540,37.8000,1.1059,-5.7706,2.2841,40.0000
2.0000,100.0000,0.5000,10,6,8,-1.0519,2.2520,41.2000,1.0972,-5.7363,2.3010,40.0000
2.4000,35.0000,0.5000,10,6,8,-1.0536,1.9835,62.8000,1.1052,-5.8229,2.5399,40.0000
2.0000,80.0000,0.5000,10,6,8,-1.0537,2.1745,51.0000,1.1100,-5.7586,2.2860,40.0000
2.8000,80.0000,0.5000,10,6,8,-1.0540,2.0192,42.6000,1.0895,-5.8982,2.4446,40.0000
2.0000,35.0000,0.5000,10,6,8,-1.0542,2.0241,69.4000,1.1142,-5.7988,2.4310,40.0000
2.4000,80.0000,0.5000,10,6,8,-1.0592,2.1105,47.2000,1.1055,-5.7960,2.3474,40.0000
2.8000,35.0000,0.5000,14,8,6,-1.0598,1.9987,53.2000,1.0889,-5.8689,2.5319,40.0000
2.8000,55.0000,0.5000,10,6,8,-1.0601,2.1069,56.4000,1.0726,-5.8321,2.3582,40.0000
3.2000,55.0000,0.5000,14,8,6,-1.0609,2.2577,47.4000,1.0708,-5.8097,2.2194,40.0000
2.4000,100.0000,0.5000,6,4,12,-1.0617,2.2088,39.8000,1.1186,-5.7945,2.2458,40.0000
2.4000,100.0000,0.5000,14,8,6,-1.0630,2.1925,36.6000,1.1051,-5.7979,2.2634,40.0000
3.2000,35.0000,0.5000,6,4,12,-1.0651,2.0870,61.2000,1.0927,-5.8384,2.3147,40.0000
2.0000,100.0000,0.5000,6,4,12,-1.0653,2.1737,43.4000,1.1105,-5.7861,2.2627,40.0000
2.0000,55.0000,0.5000,10,6,8,-1.0679,2.1059,64.4000,1.1014,-5.7849,2.2353,40.0000
2.0000,100.0000,0.5000,14,8,6,-1.0683,2.1614,40.0000,1.1019,-5.7793,2.2610,40.0000
2.0000,35.0000,0.5000,14,8,6,-1.0713,1.9788,63.8000,1.1052,-5.8373,2.4234,40.0000
3.2000,100.0000,0.5000,6,4,12,-1.0719,2.1520,34.8000,1.1013,-5.8535,2.2102,40.0000
2.8000,55.0000,0.5000,14,8,6,-1.0733,2.1253,50.6000,1.0669,-5.8382,2.2528,40.0000
2.0000,80.0000,0.5000,14,8,6,-1.0734,2.0798,49.0000,1.1009,-5.8016,2.2219,40.0000
3.2000,100.0000,0.5000,14,8,6,-1.0779,2.1227,32.2000,1.0908,-5.8535,2.2116,40.0000
2.0000,35.0000,0.5000,6,4,12,-1.0783,1.9360,78.0000,1.1181,-5.8492,2.3705,40.0000
2.4000,55.0000,0.5000,10,6,8,-1.0792,2.0258,58.8000,1.0901,-5.8093,2.2917,40.0000
2.8000,100.0000,0.5000,6,4,12,-1.0794,2.0290,36.0000,1.1089,-5.9012,2.2840,40.0000
3.2000,100.0000,0.5000,10,6,8,-1.0815,2.1166,32.4000,1.0998,-5.8535,2.1877,40.0000
2.8000,100.0000,0.5000,14,8,6,-1.0821,2.0145,33.4000,1.0967,-5.9012,2.2939,40.0000
2.8000,35.0000,0.5000,6,4,12,-1.0833,1.8844,65.4000,1.0983,-5.8680,2.4386,40.0000
2.8000,100.0000,0.5000,10,6,8,-1.0845,2.0109,33.6000,1.1058,-5.9012,2.2700,40.0000
2.0000,55.0000,0.5000,14,8,6,-1.0849,2.0380,59.4000,1.0915,-5.8234,2.2215,40.0000
2.8000,80.0000,0.5000,14,8,6,-1.0864,1.9461,40.4000,1.0871,-5.8935,2.2874,40.0000
