symbol,price,total_score,grade,vwap_crossing_score,vwap_deviation_score,mean_reversion_score,range_fitness_score,trend_range_ratio_score,liquidity_score,avg_range_pct,period_return_pct,adv_millions,reversion_rate_pct,n_days
XPEV,17.559999465942383,56.4,C,9.1,15.0,4.4,12.0,14.6,1.2,2.7,-0.96,70.0,11.7,7
DPRO,6.539999961853027,56.3,C,20.0,15.0,16.9,0.0,4.4,0.0,7.07,-13.07,34.0,22.3,7
LOW,264.57000732421875,56.3,C,20.0,15.0,0.4,9.9,1.7,9.2,2.49,-5.59,687.0,8.3,7
IREN,40.935001373291016,56.3,C,15.2,11.3,5.8,0.0,15.0,8.9,8.85,0.21,4630.0,12.9,7
GM,78.69000244140625,56.0,C,11.0,15.0,1.9,14.6,3.9,9.7,2.96,-5.72,448.0,9.6,7
TWLO,121.08999633789062,56.0,C,16.4,15.0,6.7,11.7,1.3,5.0,4.96,11.45,225.0,13.7,7
TFC,49.33000183105469,56.0,C,14.7,15.0,0.2,14.9,4.3,6.9,2.99,-5.57,321.0,8.2,7
CIFR,15.585000038146973,55.8,C,16.0,9.7,7.9,0.0,13.7,8.4,9.85,4.77,1259.0,14.8,7
T,28.0,55.6,C,9.0,15.0,0.0,7.0,15.0,9.6,2.2,-0.32,770.0,5.4,7
BE,155.64999389648438,55.4,C,14.3,9.6,6.8,0.0,15.0,9.7,8.95,1.61,1523.0,13.8,7
MO,69.06500244140625,55.2,C,19.4,15.0,0.1,5.0,6.9,8.8,2.0,2.98,406.0,8.1,7
DOCU,45.099998474121094,55.1,C,9.5,15.0,1.6,8.6,15.0,5.3,5.49,1.39,255.0,9.4,7
W,76.30000305175781,55.1,C,13.1,13.3,5.5,0.0,14.8,8.4,7.26,-2.43,431.0,12.7,7
TSM,374.5799865722656,55.0,C,12.8,15.0,0.2,11.1,6.4,9.4,2.61,4.07,3510.0,8.2,7
PINS,17.1299991607666,55.0,C,7.0,15.0,2.7,12.9,9.8,7.5,4.74,5.06,359.0,10.3,7
WFC,81.42500305175781,55.0,C,8.0,15.0,0.0,19.8,2.8,9.4,3.48,-7.29,1256.0,7.8,7
KSS,16.354999542236328,54.8,C,18.7,15.0,10.9,7.7,1.1,1.4,5.66,-13.26,54.0,17.3,7
AXON,542.3699951171875,54.7,C,14.5,15.0,10.4,6.9,0.0,8.0,5.8,27.23,2062.0,16.8,7
MGNI,13.640000343322754,54.5,C,20.0,15.0,13.3,4.4,1.8,0.0,6.24,13.9,42.0,19.3,7
GD,357.1099853515625,54.3,C,12.4,15.0,0.8,9.7,10.6,5.9,2.47,2.32,263.0,8.7,7
MTCH,31.59000015258789,54.0,C,12.4,15.0,4.5,13.6,6.6,2.0,2.86,4.36,79.0,11.8,7
BAC,49.80500030517578,53.8,C,8.0,15.0,0.6,14.2,6.4,9.6,2.92,-4.56,1832.0,8.5,7
APP,434.7799987792969,53.8,C,12.4,15.0,6.0,3.6,7.9,8.9,6.36,8.55,6864.0,13.1,7
LEU,202.5,53.7,C,13.1,12.6,5.7,3.9,15.0,3.4,6.32,1.33,127.0,12.8,7
TJX,161.59500122070312,53.7,C,11.8,15.0,1.1,8.2,8.2,9.4,2.32,3.02,684.0,8.9,7
CRWD,371.9700012207031,53.5,C,12.2,15.0,8.7,2.6,6.7,8.3,6.54,-9.88,9969.0,15.4,7
MRK,123.7699966430664,53.4,C,8.4,15.0,0.0,8.1,12.2,9.8,2.31,1.65,940.0,4.7,7
PAYC,125.77999877929688,53.4,C,7.2,15.0,1.1,12.1,12.2,5.7,4.88,3.44,250.0,9.0,7
FSLR,197.13999938964844,53.4,C,14.3,15.0,8.3,7.8,0.0,8.0,5.63,-17.5,2757.0,15.0,7
NET,172.24000549316406,53.3,C,10.7,14.4,7.3,2.8,8.9,9.2,6.51,-7.76,764.0,14.2,7
MDT,97.65499877929688,52.9,C,11.2,15.0,0.0,3.6,13.5,9.6,1.86,-0.97,602.0,7.6,7
